receiver_deployment_id,receiver_name,purchasing_organisation,receiver_project_name,receiver_status,receiver_deployment_datetime,installation_name,station_name,receiver_deployment_longitude,receiver_deployment_latitude,depth_below_surface,receiver_recovery_datetime,receiver_recovery_longitude,receiver_recovery_latitude,active
310193890,VR2Tx-481322,James Cook University,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2023-11-27 04:00:00,IMOS Coastal Array Queensland,Saunders Reef - South (Far North),144.03074,-11.49845,11.0,,,,YES
310197832,VR2W-101727,IMOS Animal Tracking Facility,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2023-11-24 14:40:00,IMOS Coastal Array Queensland,Roylen Bay (Goldsmith Island),149.14925,-20.67203,10.0,,,,YES
310197829,VR2W-124642,Biopixel Oceans Foundation,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2023-11-23 14:36:00,IMOS Coastal Array Queensland,St Bees,149.42714,-20.929618,20.0,,,,YES
310197812,VR2W-101750,IMOS Animal Tracking Facility,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2023-11-23 14:20:00,IMOS Coastal Array Queensland,Woody/Lowe Isles (Port Douglas),145.55887,-16.38154,13.0,,,,YES
310197824,VR2W-101761,IMOS Animal Tracking Facility,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2023-11-22 14:32:00,IMOS Coastal Array Queensland,Scawfell Island (Refuge Bay),149.59227,-20.86433,12.0,,,,YES
310197807,VR2W-127283,James Cook University,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2023-11-22 14:15:00,IMOS Coastal Array Queensland,Mackay Reef (Cape Tribulation),145.64386,-16.04339,17.0,,,,YES
310197804,VR2Tx-481327,James Cook University,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2023-11-22 14:11:00,IMOS Coastal Array Queensland,Hope Island (South Cooktown),145.4556,-15.729,10.0,,,,YES
311187762,VR2W-114709,Ocean Tracking Network,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2023-11-22 05:00:00,IMOS Reefs / Offshore Array Queensland,Corbett Reef,144.2378,-13.9095,8.0,,,,YES
310346931,VR2W-125536,James Cook University,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2023-11-21 22:30:00,IMOS Reefs / Offshore Array Queensland,Davie Reef,144.45645,-13.9655,8.5,,,,YES
310197798,VR2W-103935,Biopixel Oceans Foundation,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2023-11-21 17:02:00,IMOS Coastal Array Queensland,Ribbon 3,145.79782,-15.5078,12.0,,,,YES
310197801,VR2W-104915,James Cook University,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2023-11-21 05:00:00,IMOS Coastal Array Queensland,Ribbon 5,145.7748,-15.37908,16.0,,,,YES
311187852,VR2W-125337,Australian Institute of Marine Science,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2023-11-12 22:30:00,IMOS Reefs / Offshore Array Queensland,Lizard Island,145.4656,-14.69446667,8.0,,,,YES
311187145,VR2Tx-481329,James Cook University,CQU - CMERC  Crabs movement and habitat use at Eurimbula Creek,DEPLOYED,2023-11-10 02:00:00,Eurimbula Creek,Eurimbula VPS Array,151.831867,-24.170667,1.5,,,,YES
311187128,VR2Tx-485239,James Cook University,CQU - CMERC  Crabs movement and habitat use at Eurimbula Creek,DEPLOYED,2023-11-10 02:00:00,Eurimbula Creek,Eurimbula VPS Array,151.830355,-24.171368,1.5,,,,YES
311187142,VR2Tx-481314,James Cook University,CQU - CMERC  Crabs movement and habitat use at Eurimbula Creek,DEPLOYED,2023-11-10 02:00:00,Eurimbula Creek,Eurimbula VPS Array,151.830762,-24.172034,1.5,,,,YES
311187153,VR2Tx-481316,James Cook University,CQU - CMERC  Crabs movement and habitat use at Eurimbula Creek,DEPLOYED,2023-11-10 02:00:00,Eurimbula Creek,Eurimbula VPS Array,151.832555,-24.172385,1.5,,,,YES
311189861,VR2W-102230,Australian Institute of Marine Science,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2023-11-07 22:00:00,IMOS Coastal Array Queensland,Coolangatta SCP,153.53155,-28.145083,10.0,,,,YES
311189292,VR2W-112761,Australian Institute of Marine Science,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2023-11-07 21:30:00,IMOS Coastal Array Queensland,Palm Beach SCP,153.486667,-28.1,10.0,,,,YES
309550753,VR2AR-553464,IMOS Animal Tracking Facility,IMOS-ATF Bondi line,DEPLOYED,2023-11-01 23:34:00,IMOS-ATF Bondi Line,BL 10,151.354157,-33.932956,79.0,,,,YES
309550756,VR2AR-X-600361,IMOS Animal Tracking Facility,IMOS-ATF Bondi line,DEPLOYED,2023-11-01 23:24:00,IMOS-ATF Bondi Line,BL 11,151.361756,-33.937379,81.0,,,,YES
309550759,VR2AR-X-600358,IMOS Animal Tracking Facility,IMOS-ATF Bondi line,DEPLOYED,2023-11-01 23:13:00,IMOS-ATF Bondi Line,BL 12,151.369398,-33.441447,86.0,,,,YES
309550763,VR2AR-X-600359,IMOS Animal Tracking Facility,IMOS-ATF Bondi line,DEPLOYED,2023-11-01 23:01:00,IMOS-ATF Bondi Line,BL 13,151.376529,-33.945833,89.0,,,,YES
309550769,VR2AR-X-600362,IMOS Animal Tracking Facility,IMOS-ATF Bondi line,DEPLOYED,2023-11-01 22:49:00,IMOS-ATF Bondi Line,BL 14,151.383772,-33.950924,97.0,,,,YES
309550790,VR2AR-X-600360,IMOS Animal Tracking Facility,IMOS-ATF Bondi line,DEPLOYED,2023-11-01 22:34:00,IMOS-ATF Bondi Line,BL 15,151.39114,-33.95528,118.0,,,,YES
310347284,VR2W-119302,Commonwealth Scientific and Industrial Research Organisation,Galapagos shark movement patterns in the Lord Howe Island Marine Park,DEPLOYED,2023-10-20 22:30:00,Lord Howe Island Marine Park,"Observatory Rock, Ball's Pyramid",159.2368,-31.75067,22.0,,,,YES
309549747,VR2W-101747,SA South Australian Research and Development Institute,Adelaide metro monitoring,DEPLOYED,2023-10-19 05:15:00,Long Spit array,LS03,138.22507,-34.56797,7.2,,,,YES
309549744,VR2W-101724,SA South Australian Research and Development Institute,Adelaide metro monitoring,DEPLOYED,2023-10-19 04:18:00,Long Spit array,LS02,138.21861,-34.568,7.0,,,,YES
309549741,VR2W-108060,SA South Australian Research and Development Institute,Adelaide metro monitoring,DEPLOYED,2023-10-19 04:03:00,Long Spit array,LS01,138.21216,-34.56805,7.0,,,,YES
309549750,VR2W-101338,SA South Australian Research and Development Institute,Adelaide metro monitoring,DEPLOYED,2023-10-19 03:47:00,Long Spit array,LS04,138.21228,-34.57296,7.5,,,,YES
309549753,VR2W-115338,SA South Australian Research and Development Institute,Adelaide metro monitoring,DEPLOYED,2023-10-19 03:30:00,Long Spit array,LS05,138.21866,-34.57288,7.4,,,,YES
309549756,VR2W-115341,SA South Australian Research and Development Institute,Adelaide metro monitoring,DEPLOYED,2023-10-19 03:19:00,Long Spit array,LS06,138.22527,-34.57286,7.4,,,,YES
309549765,VR2W-138288,Flinders University,Adelaide metro monitoring,DEPLOYED,2023-10-19 02:29:00,Long Spit array,LS09,138.22531,-34.57837,8.0,,,,YES
309549762,VR2W-138289,Flinders University,Adelaide metro monitoring,DEPLOYED,2023-10-19 02:18:00,Long Spit array,LS08,138.2187,-34.57835,8.3,,,,YES
309549759,VR2W-138290,Flinders University,Adelaide metro monitoring,DEPLOYED,2023-10-19 02:08:00,Long Spit array,LS07,138.21233,-34.57835,8.2,,,,YES
309549768,VR2W-138291,Flinders University,Adelaide metro monitoring,DEPLOYED,2023-10-19 01:56:00,Long Spit array,LS10,138.21227,-34.5838,9.0,,,,YES
309549771,VR2W-138294,Flinders University,Adelaide metro monitoring,DEPLOYED,2023-10-19 01:46:00,Long Spit array,LS11,138.21884,-34.58384,9.1,,,,YES
309549774,VR2W-138295,Flinders University,Adelaide metro monitoring,DEPLOYED,2023-10-19 01:35:00,Long Spit array,LS12,138.2253,-34.58387,9.0,,,,YES
309383728,VR2AR-546943,James Cook University,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2023-10-18 02:00:00,IMOS Coastal Array Queensland,Jewfish site (Hinchinbrook),146.08516,-18.2871,18.5,,,,YES
309383725,VR2AR-546938,James Cook University,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2023-10-17 20:27:00,Qld Array - Hinchinbrook,Deluge - Outside,146.19843,-18.41558,7.499,,,,YES
308803113,VR2Tx-485245,James Cook University,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2023-10-11 07:30:00,IMOS Coastal Array Queensland,Mackay Port North,149.30086,-21.24302,13.5,,,,YES
308803119,VR2Tx-485246,Biopixel Oceans Foundation,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2023-10-11 06:15:00,IMOS Coastal Array Queensland,Mackay Port South,149.30878,-21.25582,13.5,,,,YES
308890621,VR2AR-550725,IMOS Animal Tracking Facility,IMOS-ATF Seal Rocks Line,DEPLOYED,2023-10-11 00:06:00,IMOS-ATF Seal Rocks Line,SRL5,152.56856,-32.48014,42.0,,,,YES
308890618,VR2AR-550724,IMOS Animal Tracking Facility,IMOS-ATF Seal Rocks Line,DEPLOYED,2023-10-10 23:51:00,IMOS-ATF Seal Rocks Line,SRL4,152.56323,-32.47426,37.0,,,,YES
308890615,VR2AR-550723,IMOS Animal Tracking Facility,IMOS-ATF Seal Rocks Line,DEPLOYED,2023-10-10 23:34:00,IMOS-ATF Seal Rocks Line,SRL3,152.55792,-32.4684,34.0,,,,YES
308890612,VR2AR-550718,IMOS Animal Tracking Facility,IMOS-ATF Seal Rocks Line,DEPLOYED,2023-10-10 23:16:00,IMOS-ATF Seal Rocks Line,SRL2,152.5491,-32.45747,27.0,,,,YES
308890609,VR2AR-550717,IMOS Animal Tracking Facility,IMOS-ATF Seal Rocks Line,DEPLOYED,2023-10-10 22:39:00,IMOS-ATF Seal Rocks Line,SRL1,152.54585,-32.45279,27.0,,,,YES
307851542,VR2AR-545638,IMOS Animal Tracking Facility,IMOS-ATF Portland Line,DEPLOYED,2023-10-10 08:53:00,IMOS-ATF Portland Line,PTLD1,141.36516,-38.38585,20.0,,,,YES
307851613,VR2AR-546549,IMOS Animal Tracking Facility,IMOS-ATF Portland Line,DEPLOYED,2023-10-09 22:26:00,IMOS-ATF Portland Line,PTLD9,141.30051,-38.401767,78.0,,,,YES
307851610,VR2AR-546256,IMOS Animal Tracking Facility,IMOS-ATF Portland Line,DEPLOYED,2023-10-09 22:23:00,IMOS-ATF Portland Line,PTLD8,141.30998,-38.39949,71.0,,,,YES
307851607,VR2AR-546252,IMOS Animal Tracking Facility,IMOS-ATF Portland Line,DEPLOYED,2023-10-09 22:19:00,IMOS-ATF Portland Line,PTLD7,141.31929,-38.39707,72.0,,,,YES
307851604,VR2AR-545592,IMOS Animal Tracking Facility,IMOS-ATF Portland Line,DEPLOYED,2023-10-09 22:16:00,IMOS-ATF Portland Line,PTLD6,141.3289,-38.39483,69.0,,,,YES
307851601,VR2AR-546297,IMOS Animal Tracking Facility,IMOS-ATF Portland Line,DEPLOYED,2023-10-09 22:12:00,IMOS-ATF Portland Line,PTLD5,141.33748,-38.39252,69.0,,,,YES
307851598,VR2AR-545643,IMOS Animal Tracking Facility,IMOS-ATF Portland Line,DEPLOYED,2023-10-09 22:09:00,IMOS-ATF Portland Line,PTLD4,141.34554,-38.39055,63.0,,,,YES
307851580,VR2AR-546253,IMOS Animal Tracking Facility,IMOS-ATF Portland Line,DEPLOYED,2023-10-09 22:05:00,IMOS-ATF Portland Line,PTLD3,141.35298,-38.38879,53.0,,,,YES
307851572,VR2AR-545595,IMOS Animal Tracking Facility,IMOS-ATF Portland Line,DEPLOYED,2023-10-09 21:56:00,IMOS-ATF Portland Line,PTLD2,141.35945,-38.38737,32.0,,,,YES
302048393,VR2AR-552746,James Cook University,North West Island Shark Behaviour,DEPLOYED,2023-10-05 04:04:00,IMOS North West Island,VPS7_NWI,151.68992,-23.28943,13.5,,,,YES
302048397,VR2AR-552747,James Cook University,North West Island Shark Behaviour,DEPLOYED,2023-10-05 04:02:00,IMOS North West Island,VPS8_NWI,151.69236,-23.28638,15.5,,,,YES
302048401,VR2AR-552748,James Cook University,North West Island Shark Behaviour,DEPLOYED,2023-10-05 03:59:00,IMOS North West Island,VPS9_NWI,151.69458,-23.28378,22.5,,,,YES
302048389,VR2AR-552745,James Cook University,North West Island Shark Behaviour,DEPLOYED,2023-10-05 03:55:00,IMOS North West Island,VPS6_NWI,151.69787,-23.28584,11.0,,,,YES
302048385,VR2AR-552744,James Cook University,North West Island Shark Behaviour,DEPLOYED,2023-10-05 03:49:00,IMOS North West Island,VPS5_NWI,151.69561,-23.28866,10.0,,,,YES
302048381,VR2AR-552736,James Cook University,North West Island Shark Behaviour,DEPLOYED,2023-10-05 03:45:00,IMOS North West Island,VPS4_NWI,151.6929,-23.29158,9.5,,,,YES
302048369,VR2AR-549821,James Cook University,North West Island Shark Behaviour,DEPLOYED,2023-10-05 03:40:00,IMOS North West Island,VPS1_NWI,151.69583,-23.29395,5.5,,,,YES
302048373,VR2AR-552740,James Cook University,North West Island Shark Behaviour,DEPLOYED,2023-10-05 03:37:00,IMOS North West Island,VPS2_NWI,151.69839,-23.29089,5.5,,,,YES
302048377,VR2AR-552735,James Cook University,North West Island Shark Behaviour,DEPLOYED,2023-10-05 03:32:00,IMOS North West Island,VPS3_NWI,151.7008,-23.28802,5.5,,,,YES
302048361,VR2AR-552742,James Cook University,North West Island Shark Behaviour,DEPLOYED,2023-10-04 05:24:00,IMOS North West Island,South 1,151.74057,-23.31666,16.5,,,,YES
302048345,VR2AR-552743,James Cook University,North West Island Shark Behaviour,DEPLOYED,2023-10-04 05:13:00,IMOS North West Island,Green Zone,151.70741,-23.3152,22.5,,,,YES
302048357,VR2AR-552734,James Cook University,North West Island Shark Behaviour,DEPLOYED,2023-10-04 04:59:00,IMOS North West Island,Mooring,151.71918,-23.28196,8.5,,,,YES
302048349,VR2AR-552737,James Cook University,North West Island Shark Behaviour,DEPLOYED,2023-10-04 04:25:00,IMOS North West Island,Half way,151.75156,-23.27891,12.5,,,,YES
311189877,VR2W-111012,James Cook University,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2023-10-04 04:00:00,IMOS Reefs / Offshore Array Queensland,Chinaman,152.6685,-22.0019,6.0,,,,YES
302048353,VR2AR-552738,James Cook University,North West Island Shark Behaviour,DEPLOYED,2023-10-04 03:40:00,IMOS North West Island,Heavy fished,151.84192,-23.26901,12.5,,,,YES
302048365,VR2AR-552739,James Cook University,North West Island Shark Behaviour,DEPLOYED,2023-10-04 02:59:00,IMOS North West Island,South fish tail,151.81127,-23.30444,8.5,,,,YES
302048341,VR2AR-553883,Flinders University,Norfolk Island project,DEPLOYED,2023-10-03 02:59:00,Norfolk Island array,Chute,167.91972,-29.04607,17.0,,,,YES
311189871,VR2W-136083,Australian Institute of Marine Science,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2023-09-28 23:00:00,IMOS Reefs / Offshore Array Queensland,Lady Musgrave,152.4198,-23.8835,7.998,,,,YES
310346940,VR2W-109066,IMOS Animal Tracking Facility,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2023-09-07 22:57:00,IMOS Coastal Array Queensland,Bucasia SCP,149.184317,-21.031633,3.0,,,,YES
301581881,VR2Tx-484030,IMOS Animal Tracking Facility,IMOS-ATF Cabbage Tree Bay Aquatic Reserve (CTBAR),DEPLOYED,2023-08-30 02:14:00,IMOS-ATF CTBAR,CTBAR NewNorth,151.295083,-33.798622,8.0,,,,YES
301581884,VR2Tx-484010,IMOS Animal Tracking Facility,IMOS-ATF Cabbage Tree Bay Aquatic Reserve (CTBAR),DEPLOYED,2023-08-30 01:14:00,IMOS-ATF CTBAR,CTBAR Outside NEW,151.30565,-33.80084,26.0,,,,YES
302048314,VR2AR-549558,James Cook University,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2023-08-29 23:30:00,Qld Array - Mackay,Allan Point,149.34158,-21.46252,6.5,,,,YES
302048322,VR2AR-549823,QLD Department of Agriculture and Fisheries,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2023-08-29 23:00:00,Qld Array - Mackay,Freshwater Point,149.34137,-21.43575,13.5,,,,YES
302048330,VR2AR-548502,James Cook University,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2023-08-29 22:50:00,Qld Array - Mackay,Wreck,149.38026,-21.35482,13.5,,,,YES
302048326,VR2AR-548503,QLD Department of Agriculture and Fisheries,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2023-08-29 22:40:00,Qld Array - Mackay,Hay Point Leads,149.41306,-21.24919,15.5,,,,YES
302048318,VR2AR-549820,QLD Department of Agriculture and Fisheries,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2023-08-28 23:00:00,Qld Array - Mackay,Cape Hilsborough,149.06456,-20.92083,12.5,,,,YES
302047894,VR2AR-553116,Flinders University,IMOS-ATF South Australian Acoustic Tracking Network,DEPLOYED,2023-08-25 06:28:00,Flinders Uni White Shark Cage Diving Industry Monitoring,Hopkins Deep,136.0497,-34.9308,24.0,,,,YES
302042317,VR2AR-545666,Flinders University,IMOS-ATF South Australian Acoustic Tracking Network,DEPLOYED,2023-08-25 02:12:00,Flinders Uni White Shark Cage Diving Industry Monitoring,St02,136.07176,-35.22533,23.0,,,,YES
302042320,VR2AR-547908,Flinders University,IMOS-ATF South Australian Acoustic Tracking Network,DEPLOYED,2023-08-25 01:53:00,Flinders Uni White Shark Cage Diving Industry Monitoring,St10,136.07198,-35.23145,8.999,,,,YES
302042325,VR2AR-545667,Flinders University,IMOS-ATF South Australian Acoustic Tracking Network,DEPLOYED,2023-08-25 01:19:00,Flinders Uni White Shark Cage Diving Industry Monitoring,South Neptunes,136.11601,-35.32643,16.0,,,,YES
311187162,VR2W-103333,Commonwealth Scientific and Industrial Research Organisation,CQU - CMERC  Crabs movement and habitat use at Eurimbula Creek,DEPLOYED,2023-08-24 00:00:00,Eurimbula Creek,Eurimbula Creek mouth CM,151.831867,-24.17373,1.0,,,,YES
310406842,VR2Tx-481326,James Cook University,CQU - CMERC  Crabs movement and habitat use at Eurimbula Creek,DEPLOYED,2023-08-23 23:00:00,Eurimbula Creek,Eurimbula VPS Array,151.830819,-24.170261,1.5,,,,YES
310406850,VR2Tx-489092,James Cook University,CQU - CMERC  Crabs movement and habitat use at Eurimbula Creek,DEPLOYED,2023-08-23 23:00:00,Eurimbula Creek,Eurimbula VPS Array,151.831955,-24.171394,1.5,,,,YES
310406856,VR2W-119499,Vemco,CQU - CMERC  Crabs movement and habitat use at Eurimbula Creek,RECOVERED,2023-08-23 23:00:00,Eurimbula Creek,Eurimbula VPS Array,151.83819,-24.17261,1.5,2023-11-09 19:06:00,151.83819,-24.17261,NO
310406862,VR2W-112359,Vemco,CQU - CMERC  Crabs movement and habitat use at Eurimbula Creek,RECOVERED,2023-08-23 23:00:00,Eurimbula Creek,Eurimbula VPS Array,151.830762,-24.172034,1.5,2023-11-10 02:00:00,151.830762,-24.172034,NO
310406868,VR2W-108741,Vemco,CQU - CMERC  Crabs movement and habitat use at Eurimbula Creek,RECOVERED,2023-08-23 23:00:00,Eurimbula Creek,Eurimbula VPS Array,151.830355,-24.171368,1.5,2023-11-10 02:00:00,151.830355,-24.171368,NO
310406874,VR2W-108770,Vemco,CQU - CMERC  Crabs movement and habitat use at Eurimbula Creek,RECOVERED,2023-08-23 23:00:00,Eurimbula Creek,Eurimbula VPS Array,151.831867,-24.170667,1.5,2023-11-10 02:00:00,151.831867,-24.170667,NO
301581902,VR2AR-549585,IMOS Animal Tracking Facility,IMOS-ATF Bondi line,DEPLOYED,2023-08-22 02:25:00,IMOS-ATF Bondi Line,BL 3,151.30273,-33.90281,57.0,,,,YES
301581905,VR2AR-548847,IMOS Animal Tracking Facility,IMOS-ATF Bondi line,DEPLOYED,2023-08-22 02:09:00,IMOS-ATF Bondi Line,BL 4,151.30988,-33.90711,62.0,,,,YES
301581908,VR2AR-546300,IMOS Animal Tracking Facility,IMOS-ATF Bondi line,DEPLOYED,2023-08-22 01:56:00,IMOS-ATF Bondi Line,BL 5,151.31755,-33.91155,63.0,,,,YES
301581911,VR2AR-549577,IMOS Animal Tracking Facility,IMOS-ATF Bondi line,DEPLOYED,2023-08-22 01:46:00,IMOS-ATF Bondi Line,BL 6,151.32515,-33.91602,63.0,,,,YES
301581914,VR2AR-545655,IMOS Animal Tracking Facility,IMOS-ATF Bondi line,DEPLOYED,2023-08-22 00:43:00,IMOS-ATF Bondi Line,BL 8,151.33945,-33.92426,69.0,,,,YES
301581920,VR2AR-545658,IMOS Animal Tracking Facility,IMOS-ATF Bondi line,DEPLOYED,2023-08-22 00:30:00,IMOS-ATF Bondi Line,BL 9,151.3466,-33.92855,79.0,,,,YES
